Composition,Eg,avg_Atomic number,avg_Atomic weight,avg_Period number,avg_Group number,avg_Family number,avg_L quantum number,avg_Mendeleev number,avg_Atomic radius (Å),avg_Covalent radius (Å),avg_Zunger radius (Å),avg_Ionic radius (Å),avg_Crystal radius (Å),avg_Pauling EN,avg_Martynov-Batsanov EN,avg_Gordy EN,avg_Mulliken EN,avg_Allen EN,avg_Metallic valence,avg_Number of valence electrons,avg_Number of s electrons,avg_Number of p electrons,avg_Number of d electrons,avg_Number of outer shell electrons,avg_First ionization energy (kJ/mol),avg_Polarizability,avg_Melting point (K),avg_Boiling point (K),avg_Density (g/mL),avg_Specific heat (J/g•K),avg_Heat of fusion (kJ/mol),avg_Heat of vaporization (kJ/mol),avg_Thermal conductivity (W/m•K),avg_Heat atomization (kJ/mol),avg_Cohesive energy (eV),diff_Atomic number,diff_Atomic weight,diff_Period number,diff_Group number,diff_Family number,diff_L quantum number,diff_Mendeleev number,diff_Atomic radius (Å),diff_Covalent radius (Å),diff_Zunger radius (Å),diff_Ionic radius (Å),diff_Crystal radius (Å),diff_Pauling EN,diff_Martynov-Batsanov EN,diff_Gordy EN,diff_Mulliken EN,diff_Allen EN,diff_Metallic valence,diff_Number of valence electrons,diff_Number of s electrons,diff_Number of p electrons,diff_Number of d electrons,diff_Number of outer shell electrons,diff_First ionization energy (kJ/mol),diff_Polarizability,diff_Melting point (K),diff_Boiling point (K),diff_Density (g/mL),diff_Specific heat (J/g•K),diff_Heat of fusion (kJ/mol),diff_Heat of vaporization (kJ/mol),diff_Thermal conductivity (W/m•K),diff_Heat atomization (kJ/mol),diff_Cohesive energy (eV),max_Atomic number,max_Atomic weight,max_Period number,max_Group number,max_Family number,max_L quantum number,max_Mendeleev number,max_Atomic radius (Å),max_Covalent radius (Å),max_Zunger radius (Å),max_Ionic radius (Å),max_Crystal radius (Å),max_Pauling EN,max_Martynov-Batsanov EN,max_Gordy EN,max_Mulliken EN,max_Allen EN,max_Metallic valence,max_Number of valence electrons,max_Number of s electrons,max_Number of p electrons,max_Number of d electrons,max_Number of outer shell electrons,max_First ionization energy (kJ/mol),max_Polarizability,max_Melting point (K),max_Boiling point (K),max_Density (g/mL),max_Specific heat (J/g•K),max_Heat of fusion (kJ/mol),max_Heat of vaporization (kJ/mol),max_Thermal conductivity (W/m•K),max_Heat atomization (kJ/mol),max_Cohesive energy (eV),min_Atomic number,min_Atomic weight,min_Period number,min_Group number,min_Family number,min_L quantum number,min_Mendeleev number,min_Atomic radius (Å),min_Covalent radius (Å),min_Zunger radius (Å),min_Ionic radius (Å),min_Crystal radius (Å),min_Pauling EN,min_Martynov-Batsanov EN,min_Gordy EN,min_Mulliken EN,min_Allen EN,min_Metallic valence,min_Number of valence electrons,min_Number of s electrons,min_Number of p electrons,min_Number of d electrons,min_Number of outer shell electrons,min_First ionization energy (kJ/mol),min_Polarizability,min_Melting point (K),min_Boiling point (K),min_Density (g/mL),min_Specific heat (J/g•K),min_Heat of fusion (kJ/mol),min_Heat of vaporization (kJ/mol),min_Thermal conductivity (W/m•K),min_Heat atomization (kJ/mol),min_Cohesive energy (eV)
Se0.6Te0.4,1.2,41.2,98.416,4.4,16.0,6.600000000000001,1.0,89.4,1.25,1.24,1.439,1.25,0.78,2.37,2.476,5.633319999999999,5.73,2.3236,2.0,6.0,2.0,4.0,4.0,4.399999999999999,912.2,4.48,583.15,1080.07,5.370000000000001,0.272,11.0124,43.64,2.164,215.0,2.352,18,48.64,1,0,1,0,1,0.25,0.2000000000000002,0.385,0.25,0.55,0.4499999999999997,0.1600000000000001,0.3192000000000004,0.3999999999999995,0.2760000000000002,0.0,0,0,0,10,4,72,1.7,232.5,304.7999999999998,1.45,0.12,10.796,14.84999999999999,0.3100000000000001,30,0.27,52,127.6,5,16,7,1,90,1.4,1.36,1.67,1.4,1.11,2.55,2.54,5.761,5.89,2.434,2.0,6,2,4,10,6,941,5.5,722.65,1262.95,6.24,0.32,17.49,52.55,2.35,227,2.46,34,78.96,4,16,6,1,89,1.15,1.16,1.285,1.15,0.56,2.1,2.38,5.4418,5.49,2.158,2.0,6,2,4,0,2,869,3.8,490.15,958.15,4.79,0.2,6.694,37.7,2.04,197,2.19
In0.95As0.95Cd0.05Te0.05,0.68,41.45,96.12658024999999,4.525,14.0,5.475,0.975,79.525,1.35625,1.325,1.743,1.35625,0.83925,1.97575,1.947,4.70172,4.235499999999999,1.928775,3.22,4.25,2.0,2.0,5.25,3.425,758.3000000000001,6.967499999999998,754.87,1598.095,6.566249999999999,0.27675,15.299475,130.2765,64.98875,266.6,2.68675,19,52.67841,1,4,2,1,20,0.4000000000000001,0.28,0.7999999999999998,0.4000000000000001,0.3900000000000001,0.4900000000000002,0.98,1.5231,2.39,0.6909999999999998,2.44,9,0,4,10,3,389,5.399999999999999,660.4000000000001,1463.0,2.92,0.13,24.437,196.74,94.45,190,1.8,52,127.6,5,16,6,1,90,1.55,1.48,2.215,1.55,1.11,2.18,2.38,5.4418,5.49,2.211,4.44,12,2,4,10,5,947,9.7,1090.15,2353.15,8.65,0.33,27.7,231.5,96.8,302,2.96,33,74.92159,4,12,4,0,70,1.15,1.2,1.415,1.15,0.72,1.69,1.4,3.9187,3.1,1.52,2.0,3,2,0,0,2,558,4.3,429.75,890.15,5.73,0.2,3.263,34.76,2.35,112,1.16
In4Se3,0.65,42.57142857142857,99.45028571428571,4.571428571428571,14.28571428571428,5.857142857142857,1.0,81.0,1.378571428571429,1.32,1.722142857142857,1.378571428571429,0.777142857142857,2.11,2.02,4.888257142857142,4.295714285714285,1.989428571428571,2.822857142857143,4.285714285714286,2.0,2.285714285714286,5.714285714285714,3.714285714285714,722.1428571428571,7.17142857142857,455.6357142857142,1755.292857142857,6.23,0.2685714285714286,4.733428571428571,148.4428571428571,47.50285714285713,236.1428571428571,2.494285714285714,15,35.858,1,3,2,0,14,0.4000000000000001,0.28,0.7649999999999999,0.4000000000000001,0.3799999999999999,0.7699999999999998,0.9100000000000001,1.5273,2.79,0.7780000000000002,1.44,3,0,3,10,4,383,5.899999999999999,60.39999999999998,1395.0,2.52,0.09,3.431,193.8,79.55999999999999,16,0.06000000000000005,49,114.818,5,16,7,1,89,1.55,1.44,2.05,1.55,0.94,2.55,2.54,5.761,5.89,2.434,3.44,6,2,4,10,6,941,9.7,490.15,2353.15,7.31,0.32,6.694,231.5,81.6,243,2.52,34,78.96,4,13,5,1,75,1.15,1.16,1.285,1.15,0.56,1.78,1.63,4.2337,3.1,1.656,2.0,3,2,1,0,2,558,3.8,429.75,958.15,4.79,0.23,3.263,37.7,2.04,227,2.46
K6Yb3P5S20,2.6,21.14705882352941,45.58525323529412,3.441176470588236,12.05882352941176,5.588235294117648,1.0,67.94117647058823,1.277941176470588,1.251764705882353,1.797352941176471,1.277941176470588,0.6664705882352941,2.081470588235294,2.138235294117647,5.189511764705882,5.185882352941176,2.079970588235294,1.970588235294118,4.705882352941177,1.823529411764706,2.794117647058823,0.0,4.617647058823529,864.2058823529412,11.74705882352941,429.414705882353,815.5617647058824,2.252058823529412,0.6764705882352942,2.194676470588235,33.01661764705882,21.34279411764706,239.7352941176471,2.486882352941177,55,142.066238,3,15,6,3,85,1.2,1.01,2.59,1.2,1.21,1.76,1.85,3.2127,3.8,1.855,2.0,5,1,4,0,5,593,40.5,774.9000000000001,916.0000000000001,6.109999999999999,0.62,7.003,119.1,102.165,225,2.496,70,173.04,6,16,7,3,88,2.2,2.03,3.69,2.2,1.52,2.58,2.65,6.0009,6.22,2.589,3.0,6,2,4,0,6,1012,43.4,1092.15,1469.15,6.97,0.77,7.66,128.9,102.4,315,3.43,15,30.973762,3,1,1,0,3,1.0,1.02,1.1,1.0,0.31,0.82,0.8,2.7882,2.42,0.734,1.0,1,1,0,0,1,419,2.9,317.25,553.15,0.86,0.15,0.657,9.8,0.235,90,0.934
In0.5Al0.5P,2.3,23.0,50.93676575000001,3.5,14.0,6.0,1.0,78.5,1.2,1.185,1.55125,1.2,0.5225,1.9425,1.9775,4.4189,4.3925,1.94375,3.11,4.0,2.0,2.0,2.5,3.75,790.0,6.3,499.35,1549.9,3.4125,0.6675,3.84175,137.2895,79.76750000000001,299.75,3.1925,36,87.836461,2,2,2,0,10,0.55,0.3799999999999999,0.8099999999999998,0.55,0.6299999999999999,0.5799999999999998,0.69,1.4354,2.52,0.6400000000000001,0.4399999999999999,2,0,2,10,3,454,6.1,615.9,2187.0,5.489999999999999,0.67,10.133,281.271,236.765,83,0.9100000000000001,49,114.818,5,15,7,1,83,1.55,1.44,2.05,1.55,0.94,2.19,2.32,4.9591,5.62,2.253,3.44,5,2,3,10,5,1012,9.7,933.15,2740.15,7.31,0.9,10.79,293.4,237.0,326,3.43,13,26.981539,3,13,5,1,73,1.0,1.06,1.24,1.0,0.31,1.61,1.63,3.5237,3.1,1.613,3.0,3,2,1,0,2,558,3.6,317.25,553.15,1.82,0.23,0.657,12.129,0.235,243,2.52
GeP,0.95,23.5,51.791881,3.5,14.5,6.5,1.0,81.0,1.125,1.14,1.4,1.125,0.42,2.1,2.155,4.79985,5.109999999999999,2.1235,3.5,4.5,2.0,2.5,0.0,4.5,887.0,4.85,768.9,1828.15,3.57,0.545,18.7985,171.5145,30.0675,346.0,3.64,17,41.636238,1,1,1,0,4,0.25,0.1599999999999999,0.3200000000000001,0.25,0.22,0.1800000000000002,0.3299999999999998,0.3185000000000002,1.02,0.2590000000000001,1.0,1,0,1,0,1,250,2.5,903.3,2550.0,3.5,0.45,36.283,318.771,59.665,62,0.4199999999999999,32,72.61,4,15,7,1,83,1.25,1.22,1.56,1.25,0.53,2.19,2.32,4.9591,5.62,2.253,4.0,5,2,3,0,5,1012,6.1,1220.55,3103.15,5.32,0.77,36.94,330.9,59.9,377,3.85,15,30.973762,3,14,6,1,79,1.0,1.06,1.24,1.0,0.31,2.01,1.99,4.6406,4.6,1.994,3.0,4,2,2,0,4,762,3.6,317.25,553.15,1.82,0.32,0.657,12.129,0.235,315,3.43
Nd2Sn3Se9,0.5,41.14285714285714,96.80357142857142,4.5,13.71428571428572,6.0,1.285714285714286,77.07142857142857,1.314285714285714,1.310714285714285,1.798928571428571,1.314285714285714,0.6935714285714285,2.222142857142857,2.207142857142857,5.361228571428572,5.150714285714286,2.111285714285715,2.585714285714285,5.142857142857143,2.0,3.0,2.142857142857143,4.571428571428572,833.0,8.578571428571427,607.5071428571429,1646.65,5.645714285714286,0.2815,6.8295,126.6214285714286,17.94,257.5,2.74,26,65.28000000000002,2,13,4,2,70,0.7000000000000002,0.6800000000000002,2.705,0.7000000000000002,0.74,1.41,1.34,1.1684,2.79,1.344,2.0,3,0,4,10,4,408,27.6,799.0000000000001,2442.0,2.52,0.13,0.4459999999999997,258.1,64.55999999999999,101,0.94,60,144.24,6,16,7,3,89,1.85,1.84,3.99,1.85,1.3,2.55,2.54,5.761,5.89,2.434,4.0,6,2,4,10,6,941,31.4,1289.15,3400.15,7.31,0.32,7.14,295.8,66.6,328,3.4,34,78.96,4,3,3,1,19,1.15,1.16,1.285,1.15,0.56,1.14,1.2,4.5926,3.1,1.09,2.0,3,2,0,0,2,533,3.8,490.15,958.15,4.79,0.19,6.694,37.7,2.04,227,2.46
TlInSe2,1.07,49.5,119.280325,4.75,14.5,6.0,1.0,82.25,1.4375,1.31,1.71375,1.4375,0.7725,2.125,2.1,5.104375,4.52,2.07825,2.72,4.5,2.0,2.5,5.0,4.25,757.25,6.225,496.55,1499.9,7.1975,0.25,5.19825,117.75,32.945,219.75,2.33,47,125.4233,2,3,2,0,14,0.75,0.3200000000000001,0.95,0.75,0.47,0.9299999999999997,0.9100000000000001,1.5273,2.79,0.7780000000000002,1.44,3,0,3,10,4,383,5.899999999999999,146.4,1395.0,7.11,0.19,3.431,193.8,79.55999999999999,61,0.6400000000000001,81,204.3833,6,16,7,1,89,1.9,1.48,2.235,1.9,1.03,2.55,2.54,5.761,5.89,2.434,3.44,6,2,4,10,6,941,9.7,576.15,2353.15,11.9,0.32,6.694,231.5,81.6,243,2.52,34,78.96,4,13,5,1,75,1.15,1.16,1.285,1.15,0.56,1.62,1.63,4.2337,3.1,1.656,2.0,3,2,1,0,2,558,3.8,429.75,958.15,4.79,0.13,3.263,37.7,2.04,182,1.88
KBiS2,0.92,33.5,78.0526675,4.0,12.0,5.0,0.75,66.25,1.45,1.3825,1.97175,1.45,0.8875,2.0,2.06,4.82715,4.8875,1.9805,2.0,4.5,1.75,2.75,2.5,4.5,780.5,14.15,413.1125,1075.5,3.6875,0.5725,4.26725,51.0675,27.702,213.75,2.2035,67,176.91437,3,15,6,1,85,1.2,1.01,2.59,1.2,1.09,1.76,1.85,3.0576,3.8,1.855,2.0,5,1,4,10,5,581,40.5,207.75,1115.3,8.89,0.63,9.582500000000001,95.0,102.131,189,1.916,83,208.98037,6,16,7,1,88,2.2,2.03,3.69,2.2,1.52,2.58,2.65,5.8458,6.22,2.589,3.0,6,2,4,10,6,1000,43.4,544.15,1833.15,9.75,0.75,11.3,104.8,102.4,279,2.85,16,32.066,3,1,1,0,3,1.0,1.02,1.1,1.0,0.43,0.82,0.8,2.7882,2.42,0.734,1.0,1,1,0,0,1,419,2.9,336.4,717.8499999999999,0.86,0.12,1.7175,9.8,0.269,90,0.934
SmCuOSe,2.6,33.25,77.21635,4.0,11.5,5.25,1.75,65.75,1.2375,1.17,1.9825,1.2375,0.895,2.265,2.035,5.672625,5.2525,2.246,2.56,6.5,1.75,2.0,2.5,3.75,886.25,10.02325,812.0500000000001,1488.9,5.3178575,0.455,7.1491475,126.952475,104.091685,255.25,2.6775,54,134.3606,4,13,4,2,66,1.25,0.8900000000000001,3.675,1.25,0.6499999999999999,2.27,2.24,4.7066,4.44,2.52,5.44,8,1,4,10,5,769,28.007,1301.4,2750.0,8.958570000000002,0.72,12.82741,296.8901,400.97326,131,1.35,62,150.36,6,16,7,3,89,1.85,1.62,4.14,1.85,1.21,3.44,3.32,8.3703,7.54,3.61,5.44,11,2,4,10,6,1314,28.8,1356.15,2840.15,8.96,0.92,13.05,300.3,401.0,338,3.49,8,15.9994,2,3,3,1,23,0.6,0.73,0.465,0.6,0.56,1.17,1.08,3.6637,3.1,1.09,0.0,3,1,0,0,1,545,0.793,54.74999999999997,90.14999999999998,0.00143,0.2,0.22259,3.4099,0.02674,207,2.14
Cs2CuP3S9,2.4,21.86666666666667,47.3914764,3.466666666666667,13.46666666666667,6.0,0.9333333333333333,74.33333333333333,1.236666666666667,1.215333333333333,1.618666666666667,1.236666666666667,0.6086666666666667,2.218,2.228666666666666,5.33456,5.445333333333333,2.2152,2.296,5.466666666666667,1.8,3.0,0.6666666666666666,4.8,902.2,10.85333333333333,425.6366666666667,856.3033333333333,2.452666666666667,0.6373333333333333,2.310833333333333,37.3578,34.8084,263.4666666666667,2.735866666666666,40,101.931668,3,15,6,2,83,1.6,1.33,3.21,1.6,1.5,1.79,1.88,2.1821,4.039999999999999,1.93,4.44,10,1,4,10,5,636,56.7,1054.6,2287.0,7.140000000000001,0.53,12.393,290.5,400.765,259,2.686,55,132.90543,6,16,7,2,88,2.6,2.35,4.31,2.6,1.81,2.58,2.65,5.8458,6.22,2.589,5.44,11,2,4,10,6,1012,59.6,1356.15,2840.15,8.96,0.77,13.05,300.3,401.0,338,3.49,15,30.973762,3,1,1,0,5,1.0,1.02,1.1,1.0,0.31,0.79,0.77,3.6637,2.18,0.659,1.0,1,1,0,0,1,376,2.9,301.55,553.15,1.82,0.24,0.657,9.8,0.235,79,0.804
Ba2AsGaSe5,1.39,38.44444444444444,90.45539888888888,4.444444444444445,12.44444444444444,5.555555555555556,0.7777777777777778,69.0,1.388888888888889,1.357777777777778,1.815444444444444,1.388888888888889,0.8066666666666666,2.057777777777778,2.092222222222222,5.231555555555556,4.75,1.988777777777778,2.271111111111111,4.666666666666667,2.0,2.666666666666667,0.0,4.666666666666667,804.1111111111111,12.31111111111111,648.9055555555556,1353.705555555555,4.731111111111112,0.3008888888888889,9.14,85.10666666666665,15.28888888888889,231.4444444444445,2.43,25,67.604,2,14,5,1,80,1.0,0.8200000000000001,2.117,1.0,0.9299999999999999,1.66,1.46,1.5938,3.49,1.553,1.44,4,0,4,0,4,444,35.90000000000001,787.2,1786.0,2.4,0.166,22.11,223.94,47.96,122,1.06,56,137.327,6,16,7,1,89,2.15,1.98,3.402,2.15,1.49,2.55,2.54,5.761,5.89,2.434,3.44,6,2,4,0,6,947,39.7,1090.15,2676.15,5.9,0.37,27.7,258.7,50.0,302,2.96,31,69.723,4,2,2,0,9,1.15,1.16,1.285,1.15,0.56,0.89,1.08,4.1672,2.4,0.881,2.0,2,2,0,0,2,503,3.8,302.95,890.15,3.5,0.204,5.59,34.76,2.04,180,1.9
Ta0.67Zr1.33O1.89N1.63,2.48,23.30434782608696,53.55667847826088,3.208333333333334,11.47826086956522,5.913043478260869,1.36231884057971,70.42934782608697,0.9468297101449276,0.9834239130434783,1.337971014492754,0.9468297101449276,0.8047644927536232,2.578025362318841,2.623387681159421,6.528178985507247,6.113134057971014,2.622079710144928,2.456521739130435,5.101449275362318,2.0,2.255434782608696,0.8460144927536233,4.255434782608695,1110.469202898551,6.499233695652175,946.2599637681162,1865.747101449276,3.584246413043479,0.7041485507246378,8.090062880434784,106.1980027173913,12.46537789855073,466.5778985507246,4.838931159420291,66,166.94116,4,12,3,1,43,0.9500000000000001,0.72,2.36,0.9500000000000001,0.9099999999999999,2.11,1.62,4.918200000000001,3.9,2.29,5.0,2,0,4,3,4,762,17.107,3214.4,5620.799999999999,16.59875,0.9,31.37741,740.2072,57.47402,533,5.48,73,180.9479,6,16,7,2,87,1.55,1.45,2.825,1.55,1.21,3.44,3.32,8.3703,7.54,3.61,5.0,6,2,4,3,6,1402,17.9,3269.15,5698.15,16.6,1.04,31.6,743.0,57.5,782,8.1,7,14.00674,2,4,4,1,44,0.6,0.73,0.465,0.6,0.3,1.33,1.7,3.4521,3.64,1.32,0.0,4,2,0,0,2,640,0.793,54.74999999999997,77.34999999999997,0.00125,0.14,0.22259,2.7928,0.02598,249,2.62
CsDy9Cd4Se18,1.99,45.40625,108.3227946875,4.75,11.375,5.3125,1.40625,67.6875,1.4140625,1.358125,2.1665625,1.4140625,0.7818750000000001,2.0134375,1.95125,5.379625000000001,4.794375,1.88628125,2.555,5.75,1.96875,2.25,1.25,4.21875,810.71875,11.790625,833.3374999999999,1496.9625,6.23875,0.2640625,7.715375,100.485,18.100625,226.0,2.408875,32,83.54,2,15,6,3,84,1.45,1.19,3.024999999999999,1.45,1.25,1.76,1.77,1.8423,3.71,1.775,3.44,11,1,4,10,5,565,55.8,1383.6,1898.0,6.78,0.15,8.968,192.4,94.75999999999999,212,2.236,66,162.5,6,16,7,3,89,2.6,2.35,4.31,2.6,1.81,2.55,2.54,5.761,5.89,2.434,4.44,12,2,4,10,6,941,59.6,1685.15,2840.15,8.65,0.32,11.06,230.1,96.8,291,3.04,34,78.96,4,1,1,0,5,1.15,1.16,1.285,1.15,0.56,0.79,0.77,3.9187,2.18,0.659,1.0,1,1,0,0,1,376,3.8,301.55,942.15,1.87,0.17,2.092,37.7,2.04,79,0.804
InSb0.9As0.1,0.27,49.1,115.9470795,4.95,14.0,5.5,1.0,79.95,1.485,1.41,1.89,1.485,0.911,1.9215,1.8915,4.623335,3.9975,1.83135,3.22,4.0,2.0,2.0,9.5,2.15,701.65,8.035,676.2500000000001,2221.5,6.952,0.226,11.958,152.201,54.235,254.5,2.6455,18,46.83841000000001,1,2,1,0,10,0.4000000000000001,0.24,0.6349999999999998,0.4000000000000001,0.22,0.4000000000000001,0.6400000000000001,0.9382999999999999,2.2,0.5549999999999999,0.4399999999999999,2,0,2,10,3,389,5.399999999999999,660.4000000000001,1463.0,1.579999999999999,0.12,24.437,196.74,57.3,59,0.4399999999999999,51,121.76,5,15,6,1,85,1.55,1.44,2.05,1.55,0.94,2.18,2.27,5.172,5.3,2.211,3.44,5,2,3,10,5,947,9.7,1090.15,2353.15,7.31,0.33,27.7,231.5,81.6,302,2.96,33,74.92159,4,13,5,1,75,1.15,1.2,1.415,1.15,0.72,1.78,1.63,4.2337,3.1,1.656,3.0,3,2,1,0,2,558,4.3,429.75,890.15,5.73,0.21,3.263,34.76,24.3,243,2.52
AlN,6.2,10.0,20.4941395,2.5,14.0,6.0,1.0,77.5,0.95,0.965,1.1075,0.95,0.415,2.325,2.245,5.20355,5.265,2.3395,3.0,4.0,2.0,2.0,0.0,4.0,990.0,4.7,498.2,1408.75,1.350625,0.97,5.5752,148.0964,118.51299,399.5,4.155,6,12.974799,1,2,2,0,9,0.6,0.4299999999999999,1.135,0.6,0.23,1.43,1.21,3.3597,4.07,1.453,0.0,2,0,2,0,2,824,7.200000000000001,869.9,2662.8,2.69875,0.14,10.4296,290.6072,236.97402,147,1.53,13,26.981539,3,15,7,1,82,1.25,1.18,1.675,1.25,0.53,3.04,2.85,6.8834,7.3,3.066,3.0,5,2,3,0,5,1402,8.3,933.15,2740.15,2.7,1.04,10.79,293.4,237.0,473,4.92,7,14.00674,2,13,5,1,73,0.65,0.75,0.54,0.65,0.3,1.61,1.64,3.5237,3.23,1.613,3.0,3,2,1,0,3,578,1.1,63.24999999999997,77.34999999999997,0.00125,0.9,0.3604,2.7928,0.02598,326,3.39
NdAs,1.04,46.5,109.580795,5.0,9.0,4.5,2.0,51.5,1.5,1.52,2.7025,1.5,1.01,1.66,1.735,4.9436,4.2,1.6505,3.05,4.0,2.0,1.5,0.0,3.5,740.0,17.85,1189.65,2145.15,6.365,0.26,17.42,153.88,33.25,315.0,3.18,27,69.31841000000001,2,12,3,2,65,0.7000000000000002,0.6400000000000001,2.575,0.7000000000000002,0.5800000000000001,1.04,1.07,0.4567999999999994,2.2,1.121,0.1000000000000001,2,0,3,0,3,414,27.1,199.0,2510.0,1.27,0.14,20.56,238.24,33.5,26,0.4399999999999999,60,144.24,6,15,6,3,84,1.85,1.84,3.99,1.85,1.3,2.18,2.27,5.172,5.3,2.211,3.1,5,2,3,0,5,947,31.4,1289.15,3400.15,7.0,0.33,27.7,273.0,50.0,328,3.4,33,74.92159,4,3,3,1,19,1.15,1.2,1.415,1.15,0.72,1.14,1.2,4.7152,3.1,1.09,3.0,3,2,0,0,2,533,4.3,1090.15,890.15,5.73,0.19,7.14,34.76,16.5,302,2.96
AgInCd2Te3,0.47,49.71428571428571,118.6154571428571,5.0,13.71428571428571,5.0,0.5714285714285714,78.57142857142857,1.492857142857143,1.402857142857143,1.980714285714285,1.492857142857143,1.057142857142857,1.912857142857143,1.805714285714285,4.606957142857143,4.667142857142856,1.862857142857143,3.394285714285715,8.0,1.857142857142857,1.857142857142857,10.0,1.857142857142857,804.5714285714284,6.928571428571429,717.2785714285715,1529.064285714286,7.69,0.2178571428571428,11.34528571428571,119.8385714285714,101.6071428571428,191.7142857142857,2.051428571428571,5,19.73179999999999,0,5,2,1,25,0.2000000000000002,0.1399999999999999,0.7050000000000001,0.2000000000000002,0.37,0.4100000000000001,1.31,1.5896,2.39,0.6379999999999999,3.44,9,1,4,0,1,311,4.199999999999999,805.4000000000001,1447.0,4.26,0.03499999999999998,14.227,198.03,426.65,172,1.79,52,127.6,5,16,6,1,90,1.6,1.48,2.375,1.6,1.29,2.1,2.38,5.4418,5.49,2.158,5.44,12,2,4,10,2,869,9.7,1235.15,2485.15,10.5,0.235,17.49,250.58,429.0,284,2.95,47,107.8682,5,11,4,0,65,1.4,1.34,1.67,1.4,0.92,1.69,1.07,3.8522,3.1,1.52,2.0,3,1,0,10,1,558,5.5,429.75,1038.15,6.24,0.2,3.263,52.55,2.35,112,1.16
In0.93As0.93Cd0.07Te0.07,0.68,41.63,96.62929435000001,4.535,14.0,5.465,0.9650000000000001,79.53500000000001,1.35875,1.327,1.7472,1.35875,0.8429500000000001,1.97405,1.9458,4.701268000000001,4.249700000000001,1.926885,3.22,4.350000000000001,2.0,2.0,5.35,3.395,760.62,6.954499999999999,752.838,1588.673,6.584750000000001,0.27545,15.226665,129.1351,64.66425000000001,264.24,2.66545,19,52.67841,1,4,2,1,20,0.4000000000000001,0.28,0.7999999999999998,0.4000000000000001,0.3900000000000001,0.4900000000000002,0.98,1.5231,2.39,0.6909999999999998,2.44,9,0,4,10,3,389,5.399999999999999,660.4000000000001,1463.0,2.92,0.13,24.437,196.74,94.45,190,1.8,52,127.6,5,16,6,1,90,1.55,1.48,2.215,1.55,1.11,2.18,2.38,5.4418,5.49,2.211,4.44,12,2,4,10,5,947,9.7,1090.15,2353.15,8.65,0.33,27.7,231.5,96.8,302,2.96,33,74.92159,4,12,4,0,70,1.15,1.2,1.415,1.15,0.72,1.69,1.4,3.9187,3.1,1.52,2.0,3,2,0,0,2,558,4.3,429.75,890.15,5.73,0.2,3.263,34.76,2.35,112,1.16
SiTe2,2.18,39.33333333333333,94.4285,4.333333333333333,15.33333333333333,6.0,1.0,86.0,1.3,1.276666666666667,1.586666666666666,1.3,0.8733333333333333,2.033333333333333,2.246666666666666,5.022933333333333,5.25,2.077333333333333,2.666666666666667,5.333333333333333,2.0,3.333333333333333,6.666666666666666,2.666666666666667,841.6666666666665,5.466666666666667,1042.816666666667,1718.016666666666,4.936666666666667,0.37,28.51,163.1066666666667,50.9,282.0,3.003333333333333,38,99.5145,2,2,0,0,12,0.2999999999999998,0.25,0.25,0.2999999999999998,0.7100000000000001,0.2000000000000002,0.3999999999999999,1.2566,0.7200000000000006,0.242,2.0,2,0,2,10,2,82,0.09999999999999964,960.5000000000001,1365.2,3.91,0.51,33.06,331.67,145.65,255,2.44,52,127.6,5,16,6,1,90,1.4,1.36,1.67,1.4,1.11,2.1,2.38,5.4418,5.49,2.158,4.0,6,2,4,10,4,869,5.5,1683.15,2628.15,6.24,0.71,50.55,384.22,148.0,452,4.63,14,28.0855,3,14,6,1,78,1.1,1.11,1.42,1.1,0.4,1.9,1.98,4.1852,4.77,1.916,2.0,4,2,2,0,2,787,5.4,722.65,1262.95,2.33,0.2,17.49,52.55,2.35,197,2.19
GeS2,3.6,21.33333333333333,45.58066666666667,3.333333333333333,15.33333333333333,6.666666666666666,1.0,85.0,1.083333333333333,1.086666666666666,1.253333333333333,1.083333333333333,0.4633333333333333,2.39,2.43,5.444066666666666,5.68,2.390666666666667,2.666666666666667,5.333333333333333,2.0,3.333333333333333,0.0,5.333333333333333,920.6666666666666,3.966666666666666,664.1499999999999,1512.95,3.153333333333333,0.58,13.45833333333333,116.8333333333333,20.146,311.6666666666666,3.183333333333333,16,40.544,1,2,1,0,9,0.25,0.2,0.46,0.25,0.1,0.5700000000000003,0.6599999999999999,1.2052,1.62,0.595,2.0,2,0,2,0,2,238,3.2,834.5999999999999,2385.3,3.25,0.39,35.2225,321.1,59.631,98,1.0,32,72.61,4,16,7,1,88,1.25,1.22,1.56,1.25,0.53,2.58,2.65,5.8458,6.22,2.589,4.0,6,2,4,0,6,1000,6.1,1220.55,3103.15,5.32,0.71,36.94,330.9,59.9,377,3.85,16,32.066,3,14,6,1,79,1.0,1.02,1.1,1.0,0.43,2.01,1.99,4.6406,4.6,1.994,2.0,4,2,2,0,4,762,2.9,385.95,717.8499999999999,2.07,0.32,1.7175,9.8,0.269,279,2.85
